      Model          MSE         RMSE          MAE        R2
LSTM-multi1 5.056155e+02    22.485894     8.533626  0.180805
LSTM-multi4 3.408735e+06  1846.276078   947.732289  0.981510
LSTM-multi5 1.364059e+06  1167.929342   767.879820  0.992612
         LR 8.873000e-03     0.094199     0.062295  0.988528
        RBF 1.357700e-02     0.116520     0.082680  0.982448
       CNN1 3.239558e+03    56.917115  2391.985249  0.942743
       CNN2 1.849131e+04 18491.309955 17047.596635 -0.865480
    CNNSLTM 3.568487e+06  1889.043879  1321.028053  0.980659
